G3 INFLATION EXPECTATIONS,,,,,,,,,,,,
Title,Consumer inflation expectations – 1-year ahead,Business inflation expectations – 3-months ahead,Union officials' inflation expectations – 1-year ahead,Union officials' inflation expectations – 2-year ahead,Market economists' inflation expectations – 1-year ahead,Market economists' inflation expectations – 2-year ahead,Break-even 10-year inflation rate,,,,,
Description,Survey measure of consumer inflation expectations; Trimmed mean for 1-year ahead annual inflation rate; End-quarter observation,Survey measure of business expectations; Increase in final prices for 3-months ahead; Annualised,Survey measure of union officials' inflation expectations; Median inflation for 1 year ahead; Year-ended,Survey measure of union officials' inflation expectations; Median inflation for 2 years ahead; Year-ended,Survey measure of market economists' inflation expectations; Median inflation for 1 year ahead; Year-ended,Survey measure of market economists' inflation expectations; Median inflation for 2 years ahead; Year-ended,Average annual inflation rate implied by the difference between 10-year nominal bond yield and 10-year inflation indexed bond yield; End-quarter observation,,,,,
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,,,,,
Units,Per cent ,Per cent ,Per cent ,Per cent ,Per cent ,Per cent ,Per cent ,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Source,MI,NAB ,"WRC, ERA, ACTU","WRC, ERA, ACTU",RBA,RBA,"RBA, Yieldbroker ",,,,,
Publication date,19-Jun-2019,19-Jul-2019,27-Aug-2019,27-Aug-2019,09-Aug-2019,09-Aug-2019,01-Jul-2019,,,,,
Series ID,GCONEXP,GBUSEXP,GUNIEXPY,GUNIEXPYY,GMAREXPY,GMAREXPYY,GBONYLD,,,,,
Dec-1985,,,,,,,9.3,,,,,
Mar-1986,,,,,,,7.1,,,,,
Jun-1986,,,,,,,,,,,,
Sep-1986,,,,,,,8.3,,,,,
Dec-1986,,,,,,,7.5,,,,,
Mar-1987,,,,,,,7.8,,,,,
Jun-1987,,,,,,,7.6,,,,,
Sep-1987,,,,,,,7.4,,,,,
Dec-1987,,,,,,,7.7,,,,,
Mar-1988,,,,,,,7.2,,,,,
Jun-1988,,,,,,,7.3,,,,,
Sep-1988,,,,,,,7.6,,,,,
Dec-1988,,,,,,,8.7,,,,,
Mar-1989,,,,,,,9.4,,,,,
Jun-1989,,,,,,,9.0,,,,,
Sep-1989,,4.8,,,,,8.7,,,,,
Dec-1989,,3.5,,,,,8.0,,,,,
Mar-1990,,4.6,,,,,7.8,,,,,
Jun-1990,,3.7,,,,,8.0,,,,,
Sep-1990,,3.9,,,,,8.1,,,,,
Dec-1990,,3.4,,,,,6.5,,,,,
Mar-1991,,2.4,,,,,5.8,,,,,
Jun-1991,,2.0,,,,,5.5,,,,,
Sep-1991,,1.7,,,,,4.6,,,,,
Dec-1991,,1.6,,,,,3.8,,,,,
Mar-1992,,1.9,,,,,4.3,,,,,
Jun-1992,,1.7,,,,,3.8,,,,,
Sep-1992,,2.1,,,,,4.3,,,,,
Dec-1992,,1.7,,,,,4.3,,,,,
Mar-1993,,1.8,,,,,3.4,,,,,
Jun-1993,,2.3,,,,,3.2,,,,,
Sep-1993,,2.4,,,3.0,,3.5,,,,,
Dec-1993,,2.5,,,,,3.0,,,,,
Mar-1994,,2.3,,,,,3.5,,,,,
Jun-1994,,3.0,,,3.0,,4.6,,,,,
Sep-1994,,3.2,,,3.4,3.5,4.7,,,,,
Dec-1994,,3.9,,,,3.7,4.3,,,,,
Mar-1995,,4.0,,,,,4.1,,,,,
Jun-1995,,4.4,,,3.8,,4.1,,,,,
Sep-1995,,3.3,,,3.6,3.2,3.6,,,,,
Dec-1995,,2.6,,,,3.1,3.3,,,,,
Mar-1996,,2.3,,,,,3.7,,,,,
Jun-1996,,2.2,,,3.0,,3.4,,,,,
Sep-1996,,1.8,3.5,,2.5,3.2,2.9,,,,,
Dec-1996,,1.6,3.0,,,3.0,2.8,,,,,
Mar-1997,,1.9,2.0,2.5,,,3.1,,,,,
Jun-1997,,1.8,2.5,2.8,2.7,,2.4,,,,,
Sep-1997,,1.5,2.0,2.6,1.8,3.6,1.8,,,,,
Dec-1997,,1.7,2.5,2.7,,3.2,1.8,,,,,
Mar-1998,,2.1,1.6,2.0,,,1.9,,,,,
Jun-1998,,1.5,2.0,2.0,2.7,,2.0,,,,,
Sep-1998,,1.5,2.0,3.0,2.6,2.5,1.8,,,,,
Dec-1998,,1.0,2.3,2.4,,2.5,1.6,,,,,
Mar-1999,,1.0,2.0,2.5,,,1.9,,,,,
Jun-1999,,1.1,2.0,2.5,2.1,,2.6,,,,,
Sep-1999,,1.2,2.0,2.5,2.2,4.2,2.9,,,,,
Dec-1999,,1.4,2.8,3.3,,4.9,3.4,,,,,
Mar-2000,,1.9,3.5,3.3,,,2.8,,,,,
Jun-2000,,3.5,4.8,4.5,5.3,,2.9,,,,,
Sep-2000,,2.1,5.3,4.2,5.5,2.3,2.9,,,,,
Dec-2000,,2.6,5.5,4.5,,2.4,2.2,,,,,
Mar-2001,,1.5,4.0,3.5,,,2.0,,,,,
Jun-2001,,2.3,4.5,4.1,1.9,,2.5,,,,,
Sep-2001,,1.6,4.0,3.8,2.3,2.5,2.1,,,,,
Dec-2001,,1.3,3.3,3.1,,2.2,2.5,,,,,
Mar-2002,,1.6,3.3,3.5,,,2.8,,,,,
Jun-2002,,1.9,3.5,3.5,2.6,,2.6,,,,,
Sep-2002,,1.8,3.0,3.5,2.4,2.5,2.0,,,,,
Dec-2002,,1.5,3.5,3.4,2.5,2.5,2.0,,,,,
Mar-2003,,1.7,3.5,3.8,2.6,,2.1,,,,,
Jun-2003,,1.2,3.5,3.6,2.2,,2.1,,,,,
Sep-2003,,1.4,3.0,3.0,2.3,2.5,2.1,,,,,
Dec-2003,,1.2,3.0,3.2,2.3,2.5,2.1,,,,,
Mar-2004,,1.1,2.6,3.0,2.0,,2.4,,,,,
Jun-2004,,1.9,2.9,3.0,2.3,,2.6,,,,,
Sep-2004,,1.9,3.0,3.0,2.4,2.7,2.7,,,,,
Dec-2004,,1.5,3.0,3.0,2.5,2.5,2.6,,,,,
Mar-2005,,1.7,3.0,3.0,2.5,,2.9,,,,,
Jun-2005,,1.9,2.9,3.0,2.6,2.7,2.5,,,,,
Sep-2005,,1.6,2.8,3.0,2.7,2.5,2.8,,,,,
Dec-2005,,1.6,3.5,3.5,2.6,2.5,3.0,,,,,
Mar-2006,,1.7,3.0,3.0,2.8,2.6,3.2,,,,,
Jun-2006,,2.4,3.5,3.2,2.7,2.6,3.3,,,,,
Sep-2006,,1.8,4.2,4.0,2.7,2.5,3.3,,,,,
Dec-2006,,1.9,3.9,3.5,2.7,2.5,3.1,,,,,
Mar-2007,,1.7,3.5,3.5,2.5,2.5,3.2,,,,,
Jun-2007,,2.1,3.0,3.0,2.5,2.5,3.4,,,,,
Sep-2007,,1.9,3.0,3.0,2.7,2.7,3.4,,,,,
Dec-2007,,2.3,3.0,3.0,2.7,2.6,3.5,,,,,
Mar-2008,,2.4,3.5,3.4,3.0,2.7,3.5,,,,,
Jun-2008,,3.4,4.0,3.7,3.0,2.9,3.9,,,,,
Sep-2008,,2.5,4.0,3.6,3.3,2.8,3.4,,,,,
Dec-2008,,1.9,4.1,4.0,2.6,2.6,1.5,,,,,
Mar-2009,,0.4,3.0,3.0,2.5,2.4,2.2,,,,,
Jun-2009,,0.9,2.5,2.7,2.3,2.4,2.5,,,,,
Sep-2009,,0.9,2.5,3.0,2.3,2.5,2.4,,,,,
Dec-2009,,1.1,2.6,3.0,2.2,2.5,2.8,,,,,
Mar-2010,,1.2,3.0,3.0,2.3,2.9,3.0,,,,,
Jun-2010,,2.1,3.0,3.0,3.0,3.0,2.6,,,,,
Sep-2010,,1.2,3.0,3.2,3.2,2.8,2.6,,,,,
Dec-2010,,1.3,3.0,3.0,3.2,3.1,2.9,,,,,
Mar-2011,,1.3,3.2,3.2,3.3,3.1,2.9,,,,,
Jun-2011,,2.0,3.1,3.1,2.7,3.0,2.9,,,,,
Sep-2011,,1.0,3.2,3.2,2.6,3.4,2.6,,,,,
Dec-2011,,1.2,3.4,3.4,3.5,3.5,2.5,,,,,
Mar-2012,,1.0,3.0,3.0,3.2,2.7,2.8,,,,,
Jun-2012,,2.0,2.4,2.5,3.4,2.6,2.4,,,,,
Sep-2012,,0.8,2.0,2.5,3.4,2.7,2.5,,,,,
Dec-2012,,0.7,2.5,2.5,2.6,2.7,2.6,,,,,
Mar-2013,,0.7,2.5,2.5,2.6,2.7,2.7,,,,,
Jun-2013,,1.5,2.8,2.8,2.6,2.7,2.4,,,,,
Sep-2013,,1.1,2.5,2.5,2.6,2.6,2.4,,,,,
Dec-2013,,1.4,2.5,2.5,2.6,2.5,2.6,,,,,
Mar-2014,,1.1,2.8,2.8,2.5,2.6,2.6,,,,,
Jun-2014,,1.5,2.8,2.9,2.6,2.7,2.5,,,,,
Sep-2014,,0.8,2.9,3.0,2.4,2.8,2.4,,,,,
Dec-2014,,1.2,2.6,2.5,2.7,2.8,2.3,,,,,
Mar-2015,3.2,1.4,2.0,2.3,2.3,2.7,2.3,,,,,
Jun-2015,3.0,1.4,2.2,2.4,2.8,2.7,2.3,,,,,
Sep-2015,3.2,0.9,2.0,2.4,2.6,2.7,2.2,,,,,
Dec-2015,4.0,0.9,2.1,2.3,2.5,2.6,2.2,,,,,
Mar-2016,3.4,0.8,1.8,2.1,2.2,2.5,2.0,,,,,
Jun-2016,3.5,1.0,2.0,2.4,2.5,2.5,1.6,,,,,
Sep-2016,3.3,0.8,1.5,2.0,2.0,2.1,1.6,,,,,
Dec-2016,3.4,1.1,1.8,2.0,2.1,2.2,2.0,,,,,
Mar-2017,4.0,1.1,1.7,1.8,2.2,2.3,2.0,,,,,
Jun-2017,3.6,1.6,2.3,2.4,2.2,2.2,1.9,,,,,
Sep-2017,3.8,0.8,2.0,2.5,2.4,2.4,1.8,,,,,
Dec-2017,3.7,1.2,2.0,2.1,2.3,2.4,1.9,,,,,
Mar-2018,3.7,1.4,2.0,2.3,2.3,2.4,1.9,,,,,
Jun-2018,4.2,2.0,2.2,2.3,2.2,2.4,2.0,,,,,
Sep-2018,4.0,1.1,2.2,2.3,2.2,2.3,1.9,,,,,
Dec-2018,4.0,1.3,2.0,2.3,2.2,2.2,1.6,,,,,
Mar-2019,4.1,1.0,1.9,2.2,2.2,2.4,1.4,,,,,
Jun-2019,3.3,1.7,2.0,2.0,2.0,2.1,1.4,,,,,
Sep-2019,,,1.8,2.0,1.9,2.0,,,,,,
Dec-2019,,,,,,,,,,,,
Mar-2020,,,,,,,,,,,,
Jun-2020,,,,,,,,,,,,
